,Transaction ID,Account,Date,U-Amount,Amount,Description,Memo,Address,Type Detail,Split Type,Date Applied,Location
18,989,Charles Schwab - Checking Account 1,2023-04-20,-16000.0,-21208.00814,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-04-20,
19,990,Charles Schwab - Checking Account 1,2023-04-28,13.04,17.28452664,Interest Paid,,,Interest Inc,Single,2023-04-28,
20,991,Charles Schwab - Checking Account 1,2023-05-22,-12000.0,-15906.00611,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-05-22,
21,992,Charles Schwab - Checking Account 1,2023-05-30,79000.0,104714.5402,Interactive Brok Ach,,,[Interactive Brokers - Investing Account 1],Single,2023-05-30,
22,993,Charles Schwab - Checking Account 1,2023-05-31,11.39,15.0974508,Interest Paid,,,Interest Inc,Single,2023-05-31,
23,994,Charles Schwab - Checking Account 1,2023-06-20,-6500.0,-8615.753308,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-06-20,
24,995,Charles Schwab - Checking Account 1,2023-06-30,33.83,44.84168222,Interest Paid,,,Interest Inc,Single,2023-06-30,
25,996,Charles Schwab - Checking Account 1,2023-07-20,-5500.0,-7290.252799,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-07-20,
26,997,Charles Schwab - Checking Account 1,2023-07-31,32.59,43.19806159,Interest Paid,,,Interest Inc,Single,2023-07-31,
27,998,Charles Schwab - Checking Account 1,2023-08-21,-6000.0,-7953.003054,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-08-21,
28,999,Charles Schwab - Checking Account 1,2023-08-31,30.5,40.42776552,Interest Paid,,,Interest Inc,Single,2023-08-31,
29,1000,Charles Schwab - Checking Account 1,2023-09-29,27.15,35.98733882,Interest Paid,,,Interest Inc,Single,2023-09-29,
30,1001,Charles Schwab - Checking Account 1,2023-10-20,-11000.0,-14580.5056,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-10-20,
31,1002,Charles Schwab - Checking Account 1,2023-10-31,28.35,37.57793943,Interest Paid,,,Interest Inc,Single,2023-10-31,
32,1003,Charles Schwab - Checking Account 1,2023-11-20,-6500.0,-8615.753308,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-11-20,
33,1004,Charles Schwab - Checking Account 1,2023-11-30,23.16,30.69859179,Interest Paid,,,Interest Inc,Single,2023-11-30,
34,1005,Charles Schwab - Checking Account 1,2023-12-20,-14000.0,-18557.00713,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2023-12-20,
35,1006,Charles Schwab - Checking Account 1,2023-12-29,19.2,25.44960977,Interest Paid,,,Interest Inc,Single,2023-12-29,
36,1007,Charles Schwab - Checking Account 1,2024-01-02,-50.0,-66.27502545,429 Savings Plan 1,,,Education,Single,2024-01-02,
37,1008,Charles Schwab - Checking Account 1,2024-01-02,-50.0,-66.27502545,429 Savings Plan 2,,,Education,Single,2024-01-02,
38,1009,Charles Schwab - Checking Account 1,2024-01-02,-50.0,-66.27502545,429 Savings Plan 3,,,Education,Single,2024-01-02,
39,1010,Charles Schwab - Checking Account 1,2024-01-15,-4092.22,-5424.239693,American Express,,,[American Express - Credit Card 1],Single,2024-01-15,
40,1011,Charles Schwab - Checking Account 1,2024-01-19,-125.0,-165.6875636,American Express,,,[American Express - Credit Card 1],Single,2024-01-19,
41,1012,Charles Schwab - Checking Account 1,2024-01-22,-9000.0,-11929.50458,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2024-01-22,
42,1013,Charles Schwab - Checking Account 1,2024-01-25,109263.0,144828.1621,Transfer,,,[Charles Schwab - Investing Account 1],Single,2024-01-25,
43,1014,Charles Schwab - Checking Account 1,2024-01-30,-50000.0,-66275.02545,Transfer,,,[Charles Schwab - Checking Account 1],Single,2024-01-30,
44,1015,Charles Schwab - Checking Account 1,2024-01-31,24.33,32.24942738,Interest Paid,,,Interest Inc,Single,2024-01-31,
45,1016,Charles Schwab - Checking Account 1,2024-02-01,-50.0,-66.27502545,429 Savings Plan 1,,,Education,Single,2024-02-01,
46,1017,Charles Schwab - Checking Account 1,2024-02-01,-50.0,-66.27502545,429 Savings Plan 2,,,Education,Single,2024-02-01,
47,1018,Charles Schwab - Checking Account 1,2024-02-01,-50.0,-66.27502545,429 Savings Plan 3,,,Education,Single,2024-02-01,
48,1019,Charles Schwab - Checking Account 1,2024-02-07,-6.5,-8.615753308,Autopay Payment - Thank You,,,[American Express - Credit Card 1],Single,2024-02-07,
49,1020,Charles Schwab - Checking Account 1,2024-02-20,-10000.0,-13255.00509,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2024-02-20,
50,1021,Charles Schwab - Checking Account 1,2024-02-29,31.06,41.17004581,Interest Paid,,,Interest Inc,Single,2024-02-29,
51,1022,Charles Schwab - Checking Account 1,2024-03-01,-50.0,-66.27502545,429 Savings Plan 1,,,Education,Single,2024-03-01,
52,1023,Charles Schwab - Checking Account 1,2024-03-01,-50.0,-66.27502545,429 Savings Plan 2,,,Education,Single,2024-03-01,
53,1024,Charles Schwab - Checking Account 1,2024-03-01,-50.0,-66.27502545,429 Savings Plan 3,,,Education,Single,2024-03-01,
54,1025,Charles Schwab - Checking Account 1,2024-03-08,-165.53,-219.4100993,American Express,,,[American Express - Credit Card 1],Single,2024-03-08,
55,1026,Charles Schwab - Checking Account 1,2024-03-20,-8000.0,-10604.00407,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2024-03-20,
56,1027,Charles Schwab - Checking Account 1,2024-03-29,27.64,36.63683407,Interest Paid,,,Interest Inc,Single,2024-03-29,
57,1028,Charles Schwab - Checking Account 1,2024-04-01,-50.0,-66.27502545,429 Savings Plan 1,,,Education,Single,2024-04-01,
58,1029,Charles Schwab - Checking Account 1,2024-04-01,-50.0,-66.27502545,429 Savings Plan 2,,,Education,Single,2024-04-01,
59,1030,Charles Schwab - Checking Account 1,2024-04-01,-50.0,-66.27502545,429 Savings Plan 3,,,Education,Single,2024-04-01,
60,1031,Charles Schwab - Checking Account 1,2024-04-08,-88.26,-116.9886749,American Express,,,[American Express - Credit Card 1],Single,2024-04-08,
61,1032,Charles Schwab - Checking Account 1,2024-04-08,-88.26,-116.9886749,American Express,,,[American Express - Credit Card 1],Single,2024-04-08,
62,1033,Charles Schwab - Checking Account 1,2024-04-15,-307.0,-406.9286563,Internal Revenue Service,,,Tax:Fed,Single,2024-04-15,
63,1034,Charles Schwab - Checking Account 1,2024-04-22,-7000.0,-9278.503563,Electronic Withdrawal,,,[Chase - Checking Account 2],Single,2024-04-22,
64,1035,Charles Schwab - Checking Account 1,2024-04-25,75000.0,99412.53817,Interactive Brok Ach,,,[Interactive Brokers - Investing Account 1],Single,2024-04-25,
65,1036,Charles Schwab - Checking Account 1,2024-04-30,33.06,43.82104683,Interest Paid,,,Interest Inc,Single,2024-04-30,
66,1207,Chase - Checking Account 1,2023-01-05,221.97,294.221348,Insurance Claim,,,Health & Fitness:Health Insurance,Single,2023-01-05,
67,1208,Chase - Checking Account 1,2023-01-23,-561.19,-743.8576306,Chase Credit Crd Autopay Ppd Id:,,,[Chase - Credit Card 1],Single,2023-01-23,
68,1209,Chase - Checking Account 1,2023-03-23,-510.04,-676.0582796,Chase Credit Crd Autopay Ppd Id:,,,[Chase - Credit Card 1],Single,2023-03-23,
69,1210,Chase - Checking Account 1,2023-04-24,-48.01,-63.63727944,Automatic Payment - Thank,,,[Chase - Credit Card 1],Single,2023-04-24,
70,1211,Chase - Checking Account 1,2023-06-23,-9.24,-12.2476247,Chase Credit Crd Autopay Ppd Id:,,,[Chase - Credit Card 1],Single,2023-06-23,
71,1212,Chase - Checking Account 1,2023-08-15,898.92,1191.518918,Credit,,,[Chase - Checking Account 1],Single,2023-08-15,
72,1213,Chase - Checking Account 1,2023-08-15,-15.0,-19.88250763,Domestic Incoming Wire Fee,,,Fees & Charges,Single,2023-08-15,
73,1214,Chase - Checking Account 1,2023-05-01,720.0,954.3603665,Venmo Cashout Ppd,,,Gifts & Donations:Reimbursed Purchases,Single,2023-05-01,
74,1215,Chase - Checking Account 1,2023-08-23,-2981.03,-3951.356782,Chase Credit Crd Autopay Ppd Id:,,,[Chase - Credit Card 1],Single,2023-08-23,
75,1216,Chase - Checking Account 1,2023-08-25,278.15,368.6879666,Venmo Cashout Ppd,,,Gifts & Donations:Reimbursed Purchases,Single,2023-08-25,
76,1217,Chase - Checking Account 1,2023-09-22,-278.15,-368.6879666,Automatic Payment - Thank,,,[Chase - Checking Account 1],Single,2023-09-22,
77,1218,Chase - Checking Account 1,2023-11-22,-278.9,-369.682092,Automatic Payment - Thank,,,[Chase - Credit Card 1],Single,2023-11-22,
78,1219,Chase - Checking Account 1,2023-12-22,-11.06,-14.66003563,Automatic Payment - Thank,,,[Chase - Credit Card 1],Single,2023-12-22,
79,1220,Chase - Checking Account 1,2024-01-22,-4118.33,-5458.848511,Automatic Payment - Thank,,,[Chase - Checking Account 1],Single,2024-01-22,
80,1221,Chase - Checking Account 1,2024-04-08,92.17,122.1713819,Mobile Deposit,,,Other Inc,Single,2024-04-08,
81,1482,Chase - Checking Account 2,2023-01-03,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-01-03,
82,1483,Chase - Checking Account 2,2023-01-03,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-01-03,
83,1484,Chase - Checking Account 2,2023-01-20,15000.0,19882.50763,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-01-20,
84,1485,Chase - Checking Account 2,2023-01-27,-6944.24,-9204.593655,Chase Credit Crd Autopay Ppd Id:,,,[Chase - Credit Card 2],Single,2023-01-27,
85,1486,Chase - Checking Account 2,2023-01-30,-49.26,-65.29415507,Paypal,,,Home:Home Supplies,Single,2023-01-30,
86,1487,Chase - Checking Account 2,2023-02-01,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-02-01,
87,1488,Chase - Checking Account 2,2023-02-03,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-02-03,
88,1489,Chase - Checking Account 2,2023-02-13,20000.0,26510.01018,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-02-13,
89,1490,Chase - Checking Account 2,2023-02-15,-10000.0,-13255.00509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-02-15,
90,1491,Chase - Checking Account 2,2023-02-15,-10000.0,-13255.00509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-02-15,
91,1492,Chase - Checking Account 2,2023-02-21,11000.0,14580.5056,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-02-21,
92,1493,Chase - Checking Account 2,2023-02-27,-10694.49,-14175.55194,Chase Credit Crd Autopay Ppd Id:,,,[Chase - Credit Card 2],Single,2023-02-27,
93,1494,Chase - Checking Account 2,2023-03-01,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-03-01,
94,1495,Chase - Checking Account 2,2023-03-03,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-03-03,
95,1496,Chase - Checking Account 2,2023-03-20,13000.0,17231.50662,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-03-20,
96,1497,Chase - Checking Account 2,2023-03-24,-94.9,-125.7899983,Online Store,,,Shopping:Electronics & Software,Single,2023-03-24,
97,1498,Chase - Checking Account 2,2023-03-27,-12661.39,-16782.67889,Chase Credit Crd Autopay Ppd Id:,,,[Chase - Credit Card 2],Single,2023-03-27,
98,1499,Chase - Checking Account 2,2023-04-03,-100.0,-132.5500509,Transfer,,,[Child Savings Account 1],Single,2023-04-03,
99,1500,Chase - Checking Account 2,2023-04-03,-200.0,-265.1001018,Transfer,,,[Child Savings Account 2],Single,2023-04-03,
100,1501,Chase - Checking Account 2,2023-04-20,16000.0,21208.00814,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-04-20,
101,1502,Chase - Checking Account 2,2023-04-27,-15208.39,-20158.72869,Chase Credit Crd Autopay Ppd Id:,,,[Chase - Credit Card 2],Single,2023-04-27,
102,1503,Chase - Checking Account 2,2023-05-01,-100.0,-132.5500509,Transfer,,,[Child Savings Account 1],Single,2023-05-01,
103,1504,Chase - Checking Account 2,2023-05-03,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-05-03,
104,1505,Chase - Checking Account 2,2023-05-22,12000.0,15906.00611,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-05-22,
105,1506,Chase - Checking Account 2,2023-05-26,-11704.91,-15514.86416,Automatic Payment - Thank,,,[Chase - Credit Card 2],Single,2023-05-26,
106,1507,Chase - Checking Account 2,2023-06-01,-100.0,-132.5500509,Transfer,,,[Child Savings Account 1],Single,2023-06-01,
107,1508,Chase - Checking Account 2,2023-06-05,-200.0,-265.1001018,Transfer,,,[Child Savings Account 2],Single,2023-06-05,
108,1509,Chase - Checking Account 2,2023-06-20,6500.0,8615.753308,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-06-20,
109,1510,Chase - Checking Account 2,2023-06-27,-6510.76,-8630.015694,Chase Credit Crd Autopay Ppd Id:,,,[Chase - Credit Card 2],Single,2023-06-27,
110,1511,Chase - Checking Account 2,2023-07-03,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-07-03,
111,1512,Chase - Checking Account 2,2023-07-03,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-07-03,
112,1513,Chase - Checking Account 2,2023-07-20,5500.0,7290.252799,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-07-20,
113,1514,Chase - Checking Account 2,2023-07-27,-5447.66,-7220.876103,Chase Credit Crd Autopay Ppd Id:,,,[Chase - Credit Card 2],Single,2023-07-27,
114,1515,Chase - Checking Account 2,2023-08-01,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-08-01,
115,1516,Chase - Checking Account 2,2023-08-03,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-08-03,
116,1517,Chase - Checking Account 2,2023-08-21,6000.0,7953.003054,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-08-21,
117,1518,Chase - Checking Account 2,2023-08-25,-5694.02,-7547.426408,Automatic Payment - Thank,,,[Chase - Credit Card 2],Single,2023-08-25,
118,1519,Chase - Checking Account 2,2023-09-01,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-09-01,
119,1520,Chase - Checking Account 2,2023-09-05,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-09-05,
120,1521,Chase - Checking Account 2,2023-09-26,-7154.52,-9483.319902,Automatic Payment - Thank,,,[Chase - Checking Account 2],Single,2023-09-26,
121,1522,Chase - Checking Account 2,2023-10-02,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-10-02,
122,1523,Chase - Checking Account 2,2023-10-03,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-10-03,
123,1524,Chase - Checking Account 2,2023-10-10,-10.5,-13.91775534,Paypal,,,Entertainment,Single,2023-10-10,
124,1525,Chase - Checking Account 2,2023-10-20,11000.0,14580.5056,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-10-20,
125,1526,Chase - Checking Account 2,2023-10-26,-7145.63,-9471.536202,Automatic Payment - Thank,,,[Chase - Credit Card 2],Single,2023-10-26,
126,1527,Chase - Checking Account 2,2023-11-01,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-11-01,
127,1528,Chase - Checking Account 2,2023-11-03,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-11-03,
128,1529,Chase - Checking Account 2,2023-11-20,6500.0,8615.753308,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-11-20,
129,1530,Chase - Checking Account 2,2023-11-26,-5425.2,-7191.105361,Automatic Payment - Thank,,,[Chase - Credit Card 2],Single,2023-11-26,
130,1531,Chase - Checking Account 2,2023-12-01,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-12-01,
131,1532,Chase - Checking Account 2,2023-12-04,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2023-12-04,
132,1533,Chase - Checking Account 2,2023-12-18,-14.85,-19.68368256,Paypal,,,Shopping:Electronics & Software,Single,2023-12-18,
133,1534,Chase - Checking Account 2,2023-12-20,14000.0,18557.00713,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2023-12-20,
134,1535,Chase - Checking Account 2,2023-12-26,-12997.01,-17227.54337,Automatic Payment - Thank,,,[Chase - Credit Card 2],Single,2023-12-26,
135,1536,Chase - Checking Account 2,2024-01-02,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2024-01-02,
136,1537,Chase - Checking Account 2,2024-01-03,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2024-01-03,
137,1538,Chase - Checking Account 2,2024-01-08,92.17,122.1713819,Mobile Deposit,,,Other Inc,Single,2024-01-08,
138,1539,Chase - Checking Account 2,2024-01-22,9000.0,11929.50458,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2024-01-22,
139,1540,Chase - Checking Account 2,2024-01-26,-8860.19,-11744.18635,Automatic Payment - Thank,,,[Chase - Credit Card 2],Single,2024-01-26,
140,1541,Chase - Checking Account 2,2024-02-01,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2024-02-01,
141,1542,Chase - Checking Account 2,2024-02-05,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2024-02-05,
142,1543,Chase - Checking Account 2,2024-02-20,10000.0,13255.00509,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2024-02-20,
143,1544,Chase - Checking Account 2,2024-02-26,-9327.24,-12363.26137,Automatic Payment - Thank,,,[Chase - Credit Card 2],Single,2024-02-26,
144,1545,Chase - Checking Account 2,2024-03-01,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2024-03-01,
145,1546,Chase - Checking Account 2,2024-03-04,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2024-03-04,
146,1547,Chase - Checking Account 2,2024-03-20,8000.0,10604.00407,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2024-03-20,
147,1548,Chase - Checking Account 2,2024-03-26,-7976.68,-10573.0934,Automatic Payment - Thank,,,[Chase - Credit Card 2],Single,2024-03-26,
148,1549,Chase - Checking Account 2,2024-04-01,-100.0,-132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2024-04-01,
149,1550,Chase - Checking Account 2,2024-04-03,-200.0,-265.1001018,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 2],Single,2024-04-03,
150,1551,Chase - Checking Account 2,2024-04-22,7000.0,9278.503563,Electronic Withdrawal,,,[Charles Schwab - Checking Account 1],Single,2024-04-22,
151,1552,Chase - Checking Account 2,2024-04-26,-7012.34,-9294.860239,Automatic Payment - Thank,,,[Chase - Credit Card 2],Single,2024-04-26,
152,1624,Chase - Savings Account 1,2023-01-27,0.08,0.106040041,Interest Payment,,,Interest Inc,Single,2023-01-27,
153,1625,Chase - Savings Account 1,2023-02-27,0.08,0.106040041,Interest Payment,,,Interest Inc,Single,2023-02-27,
154,1626,Chase - Savings Account 1,2023-03-24,0.07,0.092785036,Interest Payment,,,Interest Inc,Single,2023-03-24,
155,1627,Chase - Savings Account 1,2023-04-26,0.09,0.119295046,Interest Payment,,,Interest Inc,Single,2023-04-26,
156,1628,Chase - Savings Account 1,2023-05-24,0.07,0.092785036,Interest Payment,,,Interest Inc,Single,2023-05-24,
157,1629,Chase - Savings Account 1,2023-06-27,0.09,0.119295046,Interest Payment,,,Interest Inc,Single,2023-06-27,
158,1630,Chase - Savings Account 1,2023-07-27,0.08,0.106040041,Interest Payment,,,Interest Inc,Single,2023-07-27,
159,1631,Chase - Savings Account 1,2023-09-27,0.09,0.119295046,Interest Payment,,,Interest Inc,Single,2023-09-27,
160,1632,Chase - Savings Account 1,2023-10-26,0.08,0.106040041,Interest Payment,,,Interest Inc,Single,2023-10-26,
161,1633,Chase - Savings Account 1,2023-11-27,0.09,0.119295046,Interest Payment,,,Interest Inc,Single,2023-11-27,
162,1634,Chase - Savings Account 1,2023-12-27,0.08,0.106040041,Interest Payment,,,Interest Inc,Single,2023-12-27,
163,1635,Chase - Savings Account 1,2024-01-26,0.08,0.106040041,Interest Payment,,,Interest Inc,Single,2024-01-26,
164,1636,Chase - Savings Account 1,2024-02-27,0.09,0.119295046,Interest Payment,,,Interest Inc,Single,2024-02-27,
165,1637,Chase - Savings Account 1,2024-03-26,0.07,0.092785036,Interest Payment,,,Interest Inc,Single,2024-03-26,
166,1638,Chase - Savings Account 1,2024-04-24,0.08,0.106040041,Interest Payment,,,Interest Inc,Single,2024-04-24,
167,1728,[Child Savings Account 1],2023-01-03,100.0,132.5500509,Transfer,,,[Chase - Checking Account 2],Single,2023-01-03,
168,1729,[Child Savings Account 1],2023-01-31,99.71,132.1656558,Interest Paid,,,Interest Inc,Single,2023-01-31,
169,1730,[Child Savings Account 1],2023-02-01,100.0,132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Chase - Checking Account 2],Single,2023-02-01,
170,1731,[Child Savings Account 1],2023-02-15,10000.0,13255.00509,Goldman Sachs Ba Collection Web Id:,,,[Chase - Checking Account 2],Single,2023-02-15,
171,1732,[Child Savings Account 1],2023-02-28,112.3,148.8537072,Interest Paid,,,Interest Inc,Single,2023-02-28,
172,1733,[Child Savings Account 1],2023-03-01,100.0,132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Chase - Checking Account 2],Single,2023-03-01,
173,1734,[Child Savings Account 1],2023-03-31,145.7,193.1254242,Interest Paid,,,Interest Inc,Single,2023-03-31,
174,1735,[Child Savings Account 1],2023-04-03,100.0,132.5500509,Transfer,,,[Chase - Checking Account 2],Single,2023-04-03,
175,1736,[Child Savings Account 1],2023-04-30,144.88,192.0385137,Interest Paid,,,Interest Inc,Single,2023-04-30,
176,1737,[Child Savings Account 1],2023-05-01,100.0,132.5500509,Transfer,,,[Chase - Checking Account 2],Single,2023-05-01,
177,1738,[Child Savings Account 1],2023-05-22,100.0,132.5500509,Interest,,,Interest Inc,Single,2023-05-22,
178,1739,[Child Savings Account 1],2023-05-31,160.28,212.4512216,Interest Paid,,,Interest Inc,Single,2023-05-31,
179,1740,[Child Savings Account 1],2023-06-01,100.0,132.5500509,Transfer,,,[Chase - Checking Account 2],Single,2023-06-01,
180,1741,[Child Savings Account 1],2023-06-30,158.6,210.2243807,Interest Paid,,,Interest Inc,Single,2023-06-30,
181,1742,[Child Savings Account 1],2023-07-03,100.0,132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-07-03,
182,1743,[Child Savings Account 1],2023-07-31,164.78,218.4159739,Interest Paid,,,Interest Inc,Single,2023-07-31,
183,1744,[Child Savings Account 1],2023-08-01,100.0,132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Child Savings Account 1],Single,2023-08-01,
184,1745,[Child Savings Account 1],2023-08-31,171.02,226.687097,Interest Paid,,,Interest Inc,Single,2023-08-31,
185,1746,[Child Savings Account 1],2023-09-01,100.0,132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Chase - Checking Account 2],Single,2023-09-01,
186,1747,[Child Savings Account 1],2023-10-02,100.0,132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Chase - Checking Account 2],Single,2023-10-02,
187,1748,[Child Savings Account 1],2023-11-01,100.0,132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Chase - Checking Account 2],Single,2023-11-01,
188,1749,[Child Savings Account 1],2023-12-01,100.0,132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Chase - Checking Account 2],Single,2023-12-01,
189,1750,[Child Savings Account 1],2024-01-02,100.0,132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Chase - Checking Account 2],Single,2024-01-02,
190,1751,[Child Savings Account 1],2024-02-01,100.0,132.5500509,Goldman Sachs Ba Collection Web Id:,,,[Chase - Checking Account 2],Single,2024-02-01,
